gvkey,fyear,datadate,conm,fic,cik,ein
238483,1997,19971231,THERMATECH INGENIERIE SA,FRA,NA,
238484,1999,19991231,LOGWIN AG,LUX,NA,
238485,1999,19991231,TXT E-SOLUTIONS SPA,ITA,NA,
238486,1998,19981231,UMWELTKONTOR RENEWABLE ENRGY,DEU,NA,
238488,1999,19991231,UNITED LABELS AG,DEU,NA,
238489,1999,19991231,WAPME SYSTEMS AG,DEU,NA,
238490,1998,19981231,WESTERN TELECOM SA,FRA,NA,
238516,1998,19990331,DIXONS CARPHONE PLC,GBR,NA,
238517,1999,19991231,SAGE COALA,FRA,NA,
238522,2000,20000630,HENDERSON CYBER LTD,CYM,NA,
238523,2000,20001231,GLOBAL TELECOM HOLDING SAE,EGY,1347581,
238524,1997,19980331,PEREGRINE HOLDINGS LTD,ZAF,NA,
238525,1999,19991231,KEYTRADE BANK SA,BEL,NA,
238596,1998,19980831,CARGOLIFTER AG,DEU,NA,
238599,1999,19991231,ORANGE LTD,FRA,NA,
238616,1999,19991231,VEOLIA ENVIRONNEMENT,FRA,1160110,
238617,1998,19990331,VIDELEC,FRA,NA,
238618,2005,20051231,ARTEA,FRA,NA,
